,Unnamed: 0,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,label
0,0,0.0,0.0,0.0,0.0,0.81,2.34,0.97,0.26,0.84,0.0,0.0,0.27,0.0,0.0,1.22,0.0,1.6,0
1,1,0.0,0.0,0.0,0.0,0.6,2.05,0.9,0.29,0.72,0.0,0.0,0.52,0.0,0.0,1.45,0.0,1.54,0
2,2,0.0,0.0,0.0,0.0,0.5,1.81,0.78,0.35,0.66,0.0,0.0,0.71,0.0,0.01,1.5,0.0,1.53,0
3,3,0.0,0.0,0.0,0.0,0.43,1.6,0.62,0.37,0.64,0.0,0.01,0.84,0.0,0.12,1.3,0.0,1.45,0
4,4,0.0,0.0,0.0,0.0,0.3,1.14,0.35,0.53,0.73,0.0,0.01,0.73,0.0,0.19,1.27,0.0,1.45,0
5,5,0.0,0.0,0.0,0.0,0.13,0.82,0.15,0.53,0.77,0.0,0.01,0.56,0.0,0.28,1.3,0.0,1.43,0
6,6,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.54,0.83,0.0,0.0,0.33,0.0,0.25,1.38,0.0,1.53,0
7,7,0.0,0.0,0.0,0.0,0.0,0.5,0.04,0.55,0.8,0.11,0.06,0.38,0.0,0.3,1.44,0.0,1.52,0
8,8,0.0,0.0,0.0,0.0,0.0,0.32,0.08,0.57,0.75,0.15,0.1,0.47,0.0,0.32,1.4,0.0,1.54,0
9,9,0.0,0.0,0.0,0.0,0.12,0.18,0.22,0.66,0.7,0.15,0.1,0.57,0.0,0.31,1.46,0.0,1.46,0
10,10,0.0,0.0,0.0,0.0,0.22,0.31,0.29,0.67,0.67,0.12,0.03,0.54,0.0,0.29,1.43,0.0,1.36,0
11,11,0.0,0.0,0.0,0.0,0.35,0.56,0.45,0.8,0.68,0.2,0.0,0.46,0.0,0.26,1.45,0.0,1.19,0
12,12,0.0,0.0,0.0,0.0,0.42,0.77,0.54,0.88,0.7,0.27,0.0,0.4,0.0,0.29,1.32,0.0,1.08,0
13,13,0.0,0.0,0.0,0.0,0.51,0.86,0.7,0.91,0.74,0.19,0.0,0.38,0.0,0.29,1.37,0.0,1.04,0
14,14,0.0,0.0,0.0,0.0,0.56,0.89,0.77,0.89,0.74,0.09,0.0,0.39,0.0,0.32,1.46,0.0,1.07,0
15,15,0.0,0.0,0.0,0.0,0.63,0.81,0.82,0.94,0.81,0.06,0.0,0.33,0.0,0.33,1.54,0.0,1.01,0
16,16,0.0,0.0,0.0,0.0,0.74,0.93,0.84,1.03,0.87,0.15,0.0,0.2,0.0,0.33,1.6,0.0,1.01,0
17,17,0.0,0.0,0.0,0.0,0.87,1.01,0.87,1.14,0.96,0.17,0.0,0.1,0.0,0.35,1.62,0.0,0.93,0
18,18,0.0,0.0,0.0,0.0,0.9,1.19,0.85,1.09,0.93,0.15,0.0,0.12,0.0,0.4,1.68,0.0,1.02,0
19,19,0.0,0.0,0.0,0.0,0.82,1.28,0.81,1.03,0.89,0.08,0.02,0.25,0.0,0.44,1.67,0.0,1.03,0
20,20,0.0,0.0,0.0,0.0,0.72,1.31,0.74,1.0,0.84,0.07,0.02,0.35,0.02,0.45,1.62,0.0,1.02,0
21,21,0.0,0.0,0.0,0.0,0.57,1.26,0.66,0.92,0.7,0.05,0.1,0.62,0.02,0.44,1.34,0.0,1.01,0
22,22,0.0,0.0,0.0,0.0,0.43,1.25,0.59,0.73,0.51,0.03,0.1,0.93,0.13,0.44,0.9,0.0,0.93,0
23,23,0.0,0.0,0.0,0.0,0.2,1.25,0.58,0.42,0.23,0.0,0.14,1.29,0.11,0.44,0.5,0.0,0.9,0
24,24,0.0,0.0,0.0,0.0,0.08,1.29,0.57,0.16,0.07,0.0,0.15,1.47,0.14,0.49,0.32,0.0,0.85,0
25,25,0.0,0.0,0.0,0.0,0.0,1.35,0.56,0.05,0.0,0.0,0.27,1.74,0.03,0.6,0.25,0.04,0.86,0
26,26,0.0,0.0,0.0,0.0,0.0,1.36,0.52,0.0,0.0,0.0,0.27,1.93,0.04,0.71,0.17,0.16,0.87,0
27,27,0.0,0.0,0.0,0.0,0.0,1.35,0.58,0.0,0.0,0.0,0.4,2.15,0.01,0.72,0.1,0.41,0.89,0
28,28,0.0,0.0,0.0,0.0,0.0,1.26,0.59,0.0,0.0,0.0,0.48,2.19,0.13,0.75,0.07,0.61,0.91,0
29,29,0.0,0.0,0.0,0.0,0.0,1.21,0.58,0.0,0.0,0.0,0.62,2.18,0.21,0.76,0.13,0.68,1.02,0
30,30,0.0,0.0,0.0,0.0,0.0,1.16,0.54,0.0,0.0,0.0,0.61,2.18,0.3,0.8,0.18,0.72,0.9,0
31,31,0.0,0.0,0.0,0.0,0.0,1.13,0.58,0.0,0.0,0.0,0.52,2.16,0.29,0.78,0.16,0.8,0.73,0
32,32,0.0,0.0,0.03,0.0,0.0,1.18,0.62,0.0,0.0,0.0,0.44,2.2,0.29,0.8,0.2,0.92,0.56,0
33,33,0.0,0.0,0.04,0.0,0.02,1.17,0.76,0.0,0.0,0.12,0.23,1.55,0.28,0.53,0.77,0.78,0.63,0
34,34,0.0,0.0,0.04,0.0,0.07,1.27,0.86,0.0,0.0,0.3,0.11,1.0,0.16,0.27,1.41,0.68,0.78,0
35,35,0.05,0.0,0.01,0.0,0.07,1.31,0.97,0.0,0.04,0.41,0.0,0.43,0.08,0.0,1.88,0.42,0.75,0
36,36,0.07,0.0,0.0,0.0,0.07,1.25,0.97,0.07,0.06,0.29,0.0,0.43,0.14,0.0,1.82,0.27,0.74,0
37,37,0.2,0.0,0.0,0.0,0.02,1.34,1.08,0.09,0.07,0.11,0.0,0.51,0.31,0.0,1.46,0.07,0.61,0
38,38,0.32,0.0,0.0,0.0,0.02,1.33,1.24,0.09,0.02,0.0,0.0,0.82,0.45,0.16,1.02,0.0,0.58,0
39,39,0.31,0.0,0.0,0.0,0.0,1.36,1.39,0.02,0.0,0.0,0.0,1.31,0.36,0.52,0.59,0.0,0.32,0
