,Unnamed: 0,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,label
0,0,0.77,0.53,1.93,0.0,0.8,0.72,0.0,1.14,0.36,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.82,0
1,1,0.74,0.66,1.94,0.0,0.86,0.92,0.0,1.2,0.35,0.05,0.0,0.0,0.0,0.0,0.44,0.22,0.79,0
2,2,0.68,0.69,1.94,0.0,0.87,0.84,0.0,1.18,0.33,0.06,0.0,0.0,0.0,0.0,0.44,0.3,0.62,0
3,3,0.7,0.76,1.92,0.0,0.84,0.57,0.0,1.18,0.35,0.1,0.0,0.0,0.0,0.0,0.5,0.29,0.51,0
4,4,0.68,0.74,1.99,0.0,0.83,0.46,0.0,1.18,0.32,0.17,0.0,0.0,0.0,0.0,0.45,0.18,0.34,0
5,5,0.73,0.82,1.94,0.0,0.79,0.33,0.0,1.13,0.33,0.23,0.0,0.0,0.0,0.0,0.32,0.1,0.42,0
6,6,0.7,0.8,1.93,0.0,0.77,0.27,0.0,1.13,0.3,0.23,0.0,0.0,0.0,0.04,0.21,0.04,0.37,0
7,7,0.62,0.74,1.89,0.0,0.75,0.43,0.0,1.16,0.3,0.15,0.0,0.0,0.0,0.05,0.13,0.0,0.44,0
8,8,0.54,0.64,1.95,0.0,0.77,0.69,0.0,1.29,0.28,0.07,0.0,0.0,0.0,0.06,0.11,0.0,0.4,0
9,9,0.39,0.62,1.94,0.0,0.84,1.08,0.0,1.28,0.23,0.0,0.0,0.0,0.0,0.16,0.12,0.17,0.3,0
10,10,0.25,0.45,1.85,0.0,0.98,1.32,0.0,1.23,0.16,0.0,0.0,0.0,0.0,0.35,0.19,0.48,0.14,0
11,11,0.09,0.26,1.67,0.0,1.19,1.89,0.0,1.19,0.07,0.0,0.04,0.23,0.04,0.51,0.25,0.74,0.0,0
12,12,0.0,0.03,1.53,0.0,1.36,2.36,0.0,1.22,0.04,0.0,0.04,0.47,0.17,0.37,0.22,0.64,0.0,0
13,13,0.0,0.0,1.43,0.0,1.46,2.69,0.0,1.22,0.03,0.0,0.11,0.78,0.31,0.17,0.19,0.43,0.0,0
14,14,0.0,0.0,1.44,0.0,1.49,2.72,0.0,1.2,0.07,0.0,0.14,0.86,0.32,0.0,0.18,0.24,0.0,0
15,15,0.02,0.0,1.41,0.0,1.42,2.32,0.0,1.05,0.11,0.03,0.14,0.94,0.19,0.0,0.14,0.16,0.0,0
16,16,0.08,0.0,1.36,0.06,1.32,2.05,0.0,0.98,0.17,0.08,0.06,0.72,0.1,0.11,0.08,0.1,0.0,0
17,17,0.1,0.0,1.35,0.06,1.21,1.67,0.0,0.99,0.26,0.16,0.0,0.45,0.08,0.28,0.0,0.03,0.0,0
18,18,0.09,0.0,1.32,0.12,1.16,1.56,0.0,1.08,0.25,0.13,0.0,0.13,0.13,0.49,0.0,0.05,0.0,0
19,19,0.03,0.06,1.32,0.12,1.08,1.34,0.0,1.12,0.2,0.08,0.0,0.03,0.16,0.66,0.0,0.02,0.0,0
20,20,0.02,0.07,1.25,0.12,1.01,1.39,0.0,1.04,0.07,0.0,0.0,0.02,0.17,0.84,0.0,0.16,0.0,0
21,21,0.04,0.07,1.17,0.24,0.92,1.37,0.0,0.96,0.03,0.0,0.0,0.09,0.12,0.95,0.0,0.44,0.0,0
22,22,0.04,0.0,1.14,0.29,0.84,1.55,0.0,0.82,0.0,0.0,0.0,0.17,0.04,1.02,0.0,0.85,0.0,0
23,23,0.04,0.0,1.21,0.5,0.87,1.65,0.0,0.72,0.0,0.0,0.0,0.33,0.0,0.73,0.0,0.92,0.0,0
24,24,0.03,0.0,1.37,0.38,0.88,1.76,0.0,0.66,0.0,0.0,0.0,0.36,0.0,0.55,0.0,0.79,0.0,0
25,25,0.06,0.0,1.49,0.38,0.92,1.76,0.0,0.66,0.0,0.0,0.0,0.32,0.0,0.4,0.02,0.65,0.0,0
26,26,0.08,0.01,1.53,0.45,0.86,1.76,0.0,0.67,0.0,0.0,0.0,0.22,0.01,0.6,0.02,0.7,0.0,0
27,27,0.11,0.03,1.48,0.65,0.79,1.81,0.0,0.71,0.0,0.0,0.0,0.24,0.03,0.73,0.02,0.69,0.0,0
28,28,0.11,0.03,1.39,0.69,0.77,1.76,0.0,0.67,0.0,0.0,0.0,0.5,0.08,0.59,0.0,0.47,0.0,0
29,29,0.08,0.02,1.32,0.59,0.81,1.65,0.0,0.77,0.0,0.0,0.0,0.69,0.11,0.51,0.0,0.39,0.0,0
30,30,0.06,0.0,1.34,0.33,0.95,1.77,0.0,0.87,0.0,0.0,0.0,0.95,0.17,0.22,0.0,0.23,0.0,0
31,31,0.03,0.0,1.39,0.19,1.02,1.92,0.0,0.9,0.0,0.0,0.0,1.16,0.18,0.17,0.0,0.32,0.0,0
32,32,0.03,0.0,1.45,0.01,1.07,2.11,0.0,0.87,0.0,0.0,0.0,1.28,0.17,0.0,0.11,0.43,0.0,0
33,33,0.0,0.0,1.51,0.01,1.05,2.24,0.0,0.9,0.0,0.0,0.0,1.36,0.1,0.0,0.29,0.99,0.0,0
