,Unnamed: 0,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,label
0,0,0.08,0.0,0.0,0.0,0.0,0.43,0.0,0.82,0.23,0.27,0.0,0.62,0.0,0.0,0.36,0.91,0.0,0
1,1,0.08,0.0,0.0,0.0,0.0,0.48,0.0,0.86,0.27,0.42,0.0,0.69,0.0,0.0,0.36,1.21,0.0,0
2,2,0.12,0.0,0.0,0.0,0.0,0.56,0.0,0.89,0.31,0.48,0.0,0.69,0.0,0.0,0.36,1.36,0.0,0
3,3,0.14,0.0,0.02,0.0,0.0,0.61,0.0,0.89,0.34,0.51,0.0,0.67,0.0,0.0,0.36,1.42,0.0,0
4,4,0.15,0.0,0.03,0.0,0.0,0.73,0.0,0.91,0.34,0.49,0.0,0.63,0.0,0.0,0.29,1.42,0.02,0
5,5,0.13,0.0,0.04,0.0,0.0,0.75,0.0,0.95,0.35,0.56,0.0,0.66,0.0,0.0,0.22,1.41,0.08,0
6,6,0.13,0.0,0.14,0.0,0.0,0.75,0.0,1.07,0.37,0.52,0.0,0.5,0.0,0.0,0.22,1.33,0.08,0
7,7,0.13,0.0,0.12,0.0,0.0,0.69,0.0,1.11,0.38,0.47,0.0,0.42,0.0,0.0,0.15,1.03,0.06,0
8,8,0.15,0.0,0.11,0.0,0.0,0.68,0.0,1.07,0.39,0.38,0.02,0.26,0.0,0.0,0.1,0.59,0.0,0
9,9,0.19,0.0,0.0,0.0,0.0,0.54,0.0,0.87,0.34,0.4,0.04,0.27,0.0,0.0,0.0,0.18,0.0,0
10,10,0.24,0.0,0.0,0.0,0.0,0.58,0.0,0.71,0.29,0.42,0.09,0.23,0.0,0.0,0.0,0.0,0.0,0
11,11,0.32,0.0,0.08,0.0,0.0,0.33,0.02,0.69,0.22,0.44,0.09,0.24,0.0,0.0,0.07,0.19,0.0,0
12,12,0.38,0.0,0.19,0.0,0.0,0.27,0.07,0.81,0.2,0.37,0.07,0.17,0.0,0.0,0.32,0.69,0.0,0
13,13,0.41,0.0,0.38,0.0,0.0,0.14,0.14,0.97,0.22,0.29,0.02,0.09,0.0,0.0,0.62,1.18,0.0,0
14,14,0.26,0.0,0.45,0.0,0.0,0.27,0.23,1.09,0.24,0.21,0.0,0.0,0.0,0.0,0.86,1.56,0.0,0
15,15,0.25,0.0,0.46,0.0,0.0,0.31,0.23,1.2,0.25,0.24,0.0,0.08,0.0,0.0,0.89,1.59,0.0,0
16,16,0.27,0.0,0.38,0.0,0.0,0.36,0.15,1.26,0.24,0.39,0.0,0.11,0.0,0.0,0.92,1.62,0.0,0
17,17,0.57,0.0,0.46,0.0,0.0,0.42,0.05,1.27,0.26,0.48,0.0,0.11,0.0,0.0,0.99,1.56,0.0,0
18,18,0.82,0.0,0.51,0.0,0.0,0.41,0.0,1.15,0.29,0.5,0.0,0.03,0.0,0.0,1.19,1.57,0.0,0
19,19,1.04,0.02,0.51,0.0,0.0,0.3,0.0,1.07,0.28,0.4,0.11,0.09,0.0,0.0,1.2,1.55,0.0,0
20,20,1.05,0.02,0.39,0.0,0.0,0.11,0.0,1.0,0.23,0.31,0.18,0.21,0.0,0.0,0.89,1.35,0.0,0
21,21,1.01,0.02,0.2,0.0,0.0,0.0,0.0,0.99,0.19,0.17,0.2,0.44,0.0,0.0,0.42,0.93,0.0,0
22,22,0.93,0.05,0.09,0.0,0.0,0.09,0.0,0.94,0.2,0.09,0.1,0.56,0.0,0.01,0.07,0.55,0.0,0
23,23,0.9,0.18,0.0,0.0,0.0,0.14,0.0,0.99,0.18,0.03,0.1,0.69,0.0,0.11,0.0,0.29,0.0,0
24,24,0.82,0.21,0.0,0.02,0.0,0.14,0.0,0.99,0.12,0.03,0.13,0.7,0.0,0.16,0.0,0.21,0.0,0
25,25,0.8,0.18,0.0,0.09,0.0,0.05,0.0,0.9,0.02,0.0,0.24,0.7,0.0,0.19,0.0,0.1,0.0,0
26,26,0.83,0.16,0.0,0.16,0.0,0.0,0.0,0.79,0.0,0.0,0.2,0.64,0.0,0.13,0.0,0.1,0.0,0
27,27,0.97,0.29,0.0,0.14,0.0,0.0,0.0,0.75,0.0,0.0,0.24,0.57,0.0,0.16,0.0,0.07,0.0,0
28,28,1.0,0.34,0.0,0.06,0.0,0.0,0.0,0.71,0.0,0.0,0.16,0.59,0.0,0.21,0.0,0.04,0.0,0
29,29,0.96,0.39,0.0,0.14,0.0,0.0,0.0,0.61,0.0,0.0,0.14,0.52,0.0,0.2,0.0,0.0,0.0,0
30,30,0.84,0.41,0.0,0.31,0.0,0.07,0.0,0.52,0.0,0.01,0.06,0.52,0.0,0.16,0.0,0.09,0.0,0
31,31,0.89,0.5,0.04,0.6,0.0,0.07,0.0,0.56,0.0,0.01,0.09,0.5,0.0,0.06,0.05,0.29,0.0,0
32,32,0.96,0.64,0.18,0.56,0.0,0.18,0.0,0.62,0.0,0.1,0.08,0.55,0.0,0.03,0.27,0.54,0.0,0
33,33,1.17,0.62,0.36,0.5,0.0,0.32,0.0,0.64,0.0,0.18,0.08,0.53,0.0,0.0,0.62,0.8,0.0,0
34,34,1.22,0.73,0.45,0.33,0.0,0.5,0.0,0.58,0.0,0.18,0.01,0.5,0.0,0.0,0.7,0.97,0.0,0
35,35,1.09,0.48,0.3,0.25,0.0,0.59,0.0,0.58,0.0,0.09,0.0,0.61,0.0,0.02,0.5,0.99,0.0,0
36,36,0.92,0.49,0.15,0.19,0.0,0.74,0.0,0.51,0.0,0.01,0.0,0.76,0.0,0.05,0.27,0.95,0.0,0
37,37,0.76,0.42,0.03,0.11,0.0,0.67,0.0,0.55,0.04,0.07,0.0,0.7,0.0,0.07,0.45,0.9,0.0,0
38,38,0.81,0.49,0.03,0.23,0.0,0.47,0.0,0.53,0.09,0.2,0.0,0.49,0.0,0.05,0.84,0.94,0.0,0
39,39,0.73,0.37,0.02,0.27,0.0,0.11,0.0,0.66,0.19,0.37,0.0,0.31,0.0,0.02,1.1,0.89,0.0,0
40,40,0.72,0.4,0.02,0.22,0.0,0.05,0.0,0.72,0.2,0.44,0.0,0.31,0.0,0.02,1.09,0.74,0.0,0
41,41,0.56,0.42,0.02,0.24,0.0,0.11,0.0,0.75,0.27,0.57,0.0,0.38,0.0,0.03,0.94,0.58,0.0,0
42,42,0.38,0.42,0.0,0.15,0.0,0.11,0.0,0.87,0.32,0.71,0.06,0.68,0.0,0.03,0.58,0.34,0.0,0
43,43,0.15,0.2,0.0,0.15,0.0,0.24,0.0,1.04,0.48,0.94,0.07,1.07,0.0,0.1,0.29,0.17,0.0,0
44,44,0.05,0.05,0.0,0.04,0.0,0.39,0.0,1.25,0.59,1.14,0.08,1.39,0.0,0.17,0.03,0.02,0.01,0
45,45,0.0,0.0,0.0,0.04,0.0,0.6,0.0,1.36,0.66,1.29,0.03,1.5,0.0,0.26,0.0,0.0,0.14,0
46,46,0.08,0.0,0.0,0.1,0.0,0.63,0.0,1.31,0.63,1.25,0.02,1.42,0.0,0.28,0.0,0.0,0.17,0
47,47,0.28,0.0,0.0,0.06,0.0,0.74,0.0,1.26,0.52,1.09,0.03,1.22,0.0,0.2,0.0,0.0,0.17,0
48,48,0.52,0.0,0.0,0.06,0.0,0.67,0.0,1.18,0.36,0.77,0.05,0.92,0.0,0.11,0.06,0.21,0.03,0
49,49,0.66,0.0,0.0,0.05,0.0,0.76,0.0,1.19,0.22,0.58,0.05,0.67,0.0,0.0,0.39,0.56,0.0,0
50,50,0.6,0.02,0.0,0.1,0.0,0.67,0.0,1.15,0.15,0.4,0.03,0.48,0.0,0.0,0.86,0.92,0.0,0
51,51,0.55,0.04,0.0,0.1,0.0,0.72,0.0,1.15,0.15,0.33,0.0,0.27,0.03,0.0,1.34,1.09,0.0,0
52,52,0.51,0.08,0.0,0.12,0.0,0.68,0.0,1.07,0.2,0.3,0.0,0.14,0.15,0.0,1.56,1.14,0.0,0
53,53,0.54,0.08,0.0,0.06,0.0,0.7,0.0,1.1,0.29,0.34,0.0,0.17,0.15,0.05,1.44,1.0,0.0,0
54,54,0.52,0.05,0.0,0.06,0.0,0.68,0.0,1.13,0.42,0.46,0.0,0.54,0.21,0.3,0.9,0.62,0.0,0
55,55,0.46,0.02,0.0,0.1,0.0,0.64,0.0,1.24,0.49,0.61,0.0,0.81,0.17,0.58,0.35,0.21,0.0,0
56,56,0.45,0.0,0.0,0.25,0.0,0.74,0.0,1.27,0.5,0.62,0.0,1.11,0.26,0.8,0.0,0.0,0.0,0
57,57,0.28,0.03,0.0,0.26,0.0,0.82,0.0,1.33,0.53,0.72,0.0,1.18,0.16,0.65,0.0,0.0,0.0,0
58,58,0.23,0.02,0.0,0.17,0.0,0.95,0.0,1.43,0.56,0.88,0.0,1.25,0.09,0.37,0.0,0.0,0.0,0
59,59,0.21,0.02,0.0,0.01,0.0,1.04,0.0,1.44,0.6,1.1,0.0,1.19,0.0,0.1,0.0,0.04,0.0,0
60,60,0.42,0.01,0.0,0.01,0.0,0.99,0.0,1.39,0.49,0.97,0.02,1.13,0.0,0.0,0.01,0.25,0.0,0
61,61,0.53,0.2,0.0,0.0,0.0,0.89,0.0,1.26,0.39,0.64,0.06,1.15,0.0,0.07,0.01,0.36,0.0,0
62,62,0.56,0.24,0.0,0.0,0.0,0.63,0.0,1.24,0.25,0.25,0.14,1.16,0.0,0.15,0.01,0.46,0.0,0
63,63,0.45,0.3,0.0,0.14,0.0,0.75,0.0,1.17,0.14,0.07,0.12,1.01,0.0,0.19,0.0,0.46,0.0,0
64,64,0.42,0.11,0.0,0.18,0.0,0.79,0.0,1.2,0.08,0.09,0.08,0.82,0.0,0.11,0.15,0.59,0.0,0
65,65,0.39,0.11,0.0,0.4,0.0,0.99,0.0,1.21,0.11,0.2,0.0,0.56,0.0,0.04,0.52,0.77,0.0,0
66,66,0.42,0.04,0.0,0.3,0.0,0.86,0.0,1.19,0.16,0.23,0.0,0.44,0.0,0.0,0.7,0.79,0.0,0
67,67,0.5,0.15,0.0,0.25,0.0,0.76,0.0,1.04,0.22,0.16,0.0,0.24,0.0,0.0,0.72,0.66,0.0,0
68,68,0.65,0.31,0.0,0.18,0.0,0.56,0.0,1.03,0.23,0.11,0.03,0.23,0.01,0.0,0.46,0.34,0.0,0
69,69,0.72,0.5,0.0,0.16,0.0,0.41,0.0,1.1,0.3,0.12,0.09,0.31,0.12,0.11,0.28,0.12,0.0,0
70,70,0.55,0.42,0.0,0.16,0.0,0.38,0.0,1.2,0.35,0.11,0.09,0.59,0.12,0.28,0.1,0.0,0.0,0
71,71,0.28,0.21,0.0,0.08,0.0,0.41,0.0,1.2,0.37,0.16,0.07,0.7,0.11,0.37,0.0,0.0,0.0,0
72,72,0.09,0.02,0.0,0.07,0.0,0.39,0.0,1.25,0.39,0.29,0.03,0.79,0.0,0.27,0.0,0.0,0.0,0
73,73,0.13,0.0,0.0,0.11,0.0,0.26,0.0,1.27,0.4,0.44,0.03,0.68,0.0,0.1,0.0,0.0,0.0,0
74,74,0.33,0.0,0.0,0.17,0.0,0.17,0.0,1.2,0.41,0.32,0.02,0.59,0.0,0.04,0.0,0.0,0.0,0
75,75,0.45,0.0,0.0,0.24,0.0,0.16,0.0,1.11,0.36,0.19,0.0,0.52,0.0,0.19,0.0,0.0,0.0,0
76,76,0.46,0.0,0.0,0.21,0.0,0.27,0.0,1.03,0.26,0.12,0.09,0.79,0.0,0.38,0.0,0.0,0.0,0
77,77,0.28,0.0,0.0,0.07,0.0,0.37,0.0,1.04,0.23,0.23,0.17,1.12,0.0,0.5,0.0,0.0,0.0,0
78,78,0.19,0.0,0.0,0.0,0.0,0.52,0.0,0.99,0.26,0.33,0.33,1.38,0.0,0.44,0.0,0.0,0.0,0
79,79,0.09,0.0,0.0,0.0,0.0,0.53,0.0,0.99,0.33,0.43,0.37,1.43,0.0,0.29,0.0,0.0,0.0,0
80,80,0.05,0.0,0.0,0.0,0.0,0.51,0.0,0.99,0.34,0.51,0.46,1.48,0.0,0.2,0.0,0.0,0.0,0
81,81,0.01,0.0,0.0,0.0,0.0,0.52,0.0,1.06,0.3,0.5,0.48,1.57,0.0,0.22,0.0,0.0,0.0,0
82,82,0.06,0.0,0.0,0.0,0.0,0.4,0.0,1.11,0.23,0.42,0.4,1.53,0.0,0.3,0.0,0.0,0.0,0
83,83,0.1,0.03,0.0,0.07,0.0,0.37,0.0,1.13,0.18,0.45,0.25,1.45,0.02,0.3,0.0,0.0,0.0,0
84,84,0.22,0.03,0.0,0.14,0.0,0.41,0.0,1.06,0.1,0.46,0.13,1.38,0.02,0.23,0.0,0.0,0.0,0
85,85,0.27,0.03,0.0,0.21,0.0,0.51,0.0,1.02,0.07,0.43,0.15,1.4,0.07,0.17,0.0,0.0,0.0,0
86,86,0.32,0.06,0.0,0.26,0.0,0.42,0.0,0.97,0.01,0.39,0.16,1.41,0.07,0.18,0.0,0.0,0.0,0
87,87,0.29,0.15,0.0,0.35,0.0,0.22,0.0,0.97,0.04,0.34,0.15,1.38,0.07,0.18,0.0,0.0,0.0,0
88,88,0.21,0.15,0.0,0.33,0.0,0.08,0.0,0.98,0.07,0.37,0.15,1.32,0.02,0.2,0.0,0.0,0.0,0
89,89,0.18,0.11,0.0,0.23,0.0,0.14,0.0,0.99,0.13,0.43,0.14,1.28,0.0,0.15,0.0,0.0,0.0,0
90,90,0.2,0.08,0.0,0.13,0.0,0.25,0.0,1.04,0.16,0.46,0.09,1.24,0.0,0.11,0.0,0.0,0.0,0
91,91,0.25,0.09,0.0,0.15,0.0,0.36,0.0,1.05,0.19,0.4,0.02,1.16,0.0,0.04,0.0,0.0,0.0,0
92,92,0.24,0.08,0.0,0.17,0.0,0.39,0.0,1.09,0.21,0.27,0.05,0.99,0.02,0.01,0.0,0.0,0.0,0
93,93,0.22,0.03,0.0,0.14,0.0,0.5,0.0,1.09,0.22,0.36,0.07,0.85,0.08,0.0,0.0,0.0,0.0,0
94,94,0.22,0.01,0.0,0.08,0.0,0.44,0.0,1.13,0.21,0.48,0.07,0.78,0.17,0.0,0.0,0.0,0.0,0
95,95,0.18,0.01,0.0,0.03,0.0,0.47,0.0,1.16,0.19,0.52,0.02,0.83,0.18,0.0,0.0,0.0,0.02,0
96,96,0.15,0.01,0.01,0.01,0.0,0.42,0.0,1.22,0.17,0.48,0.0,0.88,0.12,0.0,0.0,0.04,0.02,0
97,97,0.25,0.12,0.01,0.04,0.0,0.49,0.0,1.17,0.12,0.4,0.02,0.82,0.13,0.0,0.1,0.16,0.02,0
98,98,0.37,0.23,0.01,0.14,0.0,0.46,0.0,1.13,0.1,0.36,0.02,0.72,0.22,0.0,0.18,0.44,0.0,0
99,99,0.55,0.46,0.01,0.26,0.0,0.29,0.0,1.13,0.15,0.32,0.02,0.59,0.39,0.0,0.42,0.75,0.45,0
