,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,label
42,0.0,0.0,0.57,0.0,0.0,0.71,0.0,0.01,0.0,0.0,0.12,0.77,0.0,0.18,0.0,0.01,0.0,fake
43,0.0,0.0,0.56,0.0,0.0,0.71,0.0,0.01,0.0,0.0,0.19,0.78,0.0,0.26,0.0,0.01,0.0,fake
44,0.0,0.0,0.55,0.0,0.0,0.69,0.0,0.0,0.0,0.0,0.28,0.9,0.0,0.35,0.0,0.01,0.0,fake
45,0.0,0.0,0.58,0.0,0.0,0.69,0.0,0.0,0.0,0.0,0.25,0.95,0.0,0.35,0.0,0.08,0.0,fake
46,0.0,0.0,0.55,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.14,0.97,0.0,0.27,0.0,0.12,0.0,fake
47,0.0,0.0,0.52,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.09,1.03,0.0,0.27,0.0,0.12,0.0,fake
48,0.0,0.0,0.42,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.08,1.17,0.0,0.36,0.0,0.04,0.0,fake
49,0.0,0.0,0.41,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.08,1.29,0.0,0.46,0.0,0.0,0.0,fake
50,0.0,0.0,0.44,0.0,0.04,0.28,0.0,0.0,0.0,0.0,0.03,1.31,0.0,0.34,0.0,0.0,0.19,fake
51,0.0,0.0,0.46,0.0,0.08,0.36,0.0,0.0,0.0,0.0,0.06,1.29,0.0,0.2,0.0,0.0,0.32,fake
52,0.0,0.0,0.35,0.0,0.08,0.35,0.0,0.0,0.0,0.0,0.06,1.29,0.0,0.03,0.0,0.0,0.66,fake
53,0.0,0.0,0.32,0.0,0.06,0.4,0.0,0.0,0.0,0.0,0.04,1.22,0.0,0.01,0.0,0.0,0.7,fake
54,0.0,0.0,0.35,0.0,0.05,0.45,0.0,0.0,0.0,0.0,0.0,1.16,0.0,0.0,0.0,0.0,0.76,fake
55,0.0,0.0,0.45,0.0,0.07,0.62,0.0,0.0,0.0,0.0,0.01,1.09,0.0,0.0,0.0,0.0,0.63,fake
56,0.0,0.0,0.47,0.0,0.15,0.58,0.0,0.0,0.0,0.0,0.01,0.96,0.0,0.0,0.0,0.13,0.54,fake
57,0.0,0.0,0.5,0.0,0.21,0.7,0.0,0.0,0.0,0.0,0.01,0.83,0.0,0.0,0.0,0.21,0.48,fake
58,0.0,0.0,0.55,0.0,0.25,0.74,0.0,0.04,0.0,0.0,0.01,0.71,0.0,0.0,0.0,0.35,0.37,fake
59,0.0,0.0,0.51,0.0,0.26,0.76,0.0,0.09,0.03,0.05,0.02,0.59,0.0,0.0,0.2,0.4,0.29,fake
60,0.0,0.0,0.48,0.0,0.28,0.69,0.0,0.17,0.04,0.08,0.12,0.44,0.0,0.0,0.45,0.5,0.19,fake
61,0.0,0.0,0.42,0.0,0.36,0.68,0.0,0.21,0.07,0.16,0.23,0.27,0.04,0.0,0.72,0.46,0.08,fake
