,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,label
0,0.0,0.0,1.05,0.0,0.28,2.14,0.0,1.14,0.41,1.91,0.0,0.05,0.25,0.04,0.86,0.51,0.0,real
1,0.0,0.0,1.11,0.0,0.31,2.27,0.0,1.4,0.39,1.99,0.0,0.23,0.19,0.01,0.98,0.72,0.0,real
2,0.0,0.0,1.21,0.0,0.32,2.32,0.0,1.54,0.38,2.03,0.0,0.37,0.22,0.0,0.98,0.82,0.0,real
3,0.0,0.0,1.26,0.0,0.3,2.35,0.0,1.57,0.41,1.95,0.0,0.35,0.32,0.0,0.89,0.79,0.0,real
4,0.0,0.0,1.31,0.0,0.34,2.42,0.0,1.6,0.4,1.96,0.0,0.39,0.3,0.0,0.74,0.81,0.0,real
5,0.0,0.0,1.21,0.0,0.38,2.41,0.0,1.63,0.39,2.0,0.0,0.29,0.23,0.0,0.66,0.7,0.0,real
6,0.0,0.0,1.12,0.0,0.4,2.35,0.01,1.72,0.37,2.02,0.0,0.27,0.12,0.0,0.57,0.62,0.06,real
7,0.0,0.0,1.05,0.0,0.4,2.28,0.01,1.67,0.33,2.01,0.0,0.24,0.05,0.0,0.56,0.54,0.13,real
8,0.0,0.0,1.05,0.0,0.41,2.31,0.01,1.66,0.29,1.92,0.0,0.29,0.01,0.0,0.58,0.58,0.16,real
9,0.0,0.0,1.03,0.0,0.42,2.25,0.0,1.59,0.26,1.9,0.0,0.28,0.0,0.0,0.59,0.71,0.13,real
10,0.0,0.0,0.97,0.0,0.4,2.21,0.02,1.53,0.28,1.84,0.0,0.2,0.02,0.0,0.67,0.77,0.12,real
11,0.0,0.0,1.0,0.0,0.37,2.22,0.02,1.42,0.29,1.84,0.0,0.11,0.02,0.0,0.66,0.8,0.14,real
12,0.0,0.0,1.07,0.0,0.38,2.17,0.02,1.31,0.24,1.84,0.0,0.05,0.02,0.0,0.67,0.71,0.32,real
13,0.0,0.0,1.2,0.0,0.37,2.19,0.01,1.39,0.25,1.9,0.0,0.1,0.0,0.0,0.53,0.65,0.38,real
14,0.0,0.0,1.16,0.0,0.33,1.99,0.04,1.36,0.17,1.99,0.0,0.24,0.0,0.11,0.33,0.51,0.57,real
15,0.0,0.0,1.11,0.0,0.27,1.95,0.04,1.27,0.13,2.05,0.0,0.53,0.03,0.34,0.15,0.37,0.58,real
16,0.0,0.0,1.03,0.0,0.21,1.89,0.04,1.08,0.03,2.24,0.0,0.57,0.23,0.5,0.0,0.22,0.65,real
17,0.0,0.0,1.02,0.0,0.2,1.97,0.0,1.01,0.01,2.34,0.0,0.54,0.42,0.57,0.0,0.17,0.6,real
18,0.0,0.0,1.08,0.0,0.32,2.2,0.0,1.3,0.2,2.86,0.0,0.24,0.8,0.33,0.0,0.32,0.41,real
19,0.0,0.0,1.17,0.0,0.52,2.23,0.0,1.59,0.47,3.33,0.0,0.13,0.98,0.18,0.35,0.7,0.35,real
20,0.0,0.0,1.23,0.0,0.75,2.05,0.0,1.98,0.76,3.8,0.0,0.0,1.18,0.0,0.79,1.27,0.25,real
21,0.0,0.0,1.19,0.0,0.84,1.7,0.0,1.99,0.89,3.72,0.0,0.0,1.22,0.0,1.26,1.85,0.47,real
22,0.0,0.0,1.04,0.0,0.8,1.44,0.0,1.82,0.83,3.48,0.0,0.0,1.1,0.0,1.12,1.95,0.63,real
23,0.0,0.0,0.92,0.0,0.75,1.37,0.0,1.52,0.74,3.19,0.0,0.0,1.04,0.0,0.84,1.89,0.87,real
24,0.0,0.0,0.78,0.0,0.56,1.31,0.0,0.99,0.47,2.78,0.33,0.58,0.74,0.37,0.37,1.15,0.95,real
25,0.0,0.0,0.76,0.0,0.48,1.47,0.04,0.62,0.3,2.41,0.54,1.08,0.5,0.75,0.16,0.64,0.89,real
26,0.0,0.0,0.87,0.0,0.4,1.84,0.14,0.43,0.11,2.05,0.68,1.43,0.2,0.99,0.0,0.1,0.77,real
27,0.0,0.0,1.04,0.0,0.47,2.29,0.22,0.63,0.09,1.89,0.54,1.43,0.16,1.01,0.0,0.02,0.64,real
28,0.0,0.0,1.14,0.0,0.43,2.66,0.18,0.78,0.04,1.85,0.46,1.51,0.25,1.02,0.0,0.0,0.63,real
29,0.0,0.0,1.06,0.0,0.45,2.66,0.1,0.92,0.02,1.97,0.38,1.47,0.33,1.01,0.0,0.0,0.67,real
30,0.0,0.0,0.94,0.0,0.48,2.63,0.05,0.97,0.0,2.17,0.24,1.21,0.29,0.82,0.0,0.0,0.73,real
31,0.0,0.0,0.9,0.0,0.56,2.36,0.1,1.25,0.02,2.29,0.12,0.83,0.32,0.46,0.0,0.0,0.78,real
32,0.0,0.0,0.81,0.0,0.54,2.21,0.17,1.48,0.09,2.41,0.06,0.68,0.38,0.23,0.0,0.0,0.7,real
33,0.0,0.0,0.93,0.0,0.53,2.02,0.19,1.72,0.15,2.44,0.0,0.36,0.48,0.02,0.0,0.0,0.62,real
34,0.0,0.0,1.01,0.0,0.6,2.03,0.18,1.98,0.33,2.78,0.0,0.23,0.55,0.0,0.02,0.0,0.56,real
35,0.0,0.0,1.19,0.0,0.62,2.2,0.09,2.12,0.44,2.88,0.0,0.14,0.51,0.0,0.12,0.21,0.51,real
36,0.0,0.0,1.2,0.0,0.63,2.38,0.04,1.92,0.44,2.96,0.0,0.37,0.57,0.16,0.12,0.24,0.58,real
37,0.0,0.0,1.24,0.0,0.55,2.49,0.02,1.42,0.24,2.82,0.0,0.65,0.54,0.48,0.1,0.24,0.63,real
