,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,label
0,0.0,0.0,0.0,0.0,0.05,1.43,0.34,0.82,0.24,0.05,0.0,0.96,0.27,0.0,0.0,0.19,0.48,real
1,0.0,0.0,0.0,0.0,0.02,1.42,0.17,0.68,0.12,0.04,0.0,0.8,0.37,0.11,0.0,0.33,0.55,real
2,0.0,0.0,0.0,0.0,0.0,1.36,0.05,0.58,0.04,0.02,0.0,0.74,0.4,0.18,0.0,0.33,0.55,real
3,0.0,0.0,0.0,0.0,0.0,1.24,0.05,0.48,0.0,0.01,0.0,0.77,0.36,0.22,0.0,0.24,0.58,real
4,0.0,0.0,0.0,0.0,0.03,1.22,0.04,0.41,0.21,0.09,0.0,0.58,0.24,0.22,0.0,0.2,0.92,real
5,0.0,0.0,0.0,0.0,0.03,1.2,0.03,0.32,0.31,0.23,0.0,0.46,0.11,0.19,0.0,0.22,1.44,real
6,0.0,0.0,0.0,0.0,0.06,1.34,0.0,0.23,0.36,0.25,0.0,0.3,0.0,0.21,0.05,0.38,1.69,real
7,0.0,0.0,0.0,0.0,0.04,1.4,0.01,0.11,0.17,0.24,0.0,0.31,0.0,0.2,0.09,0.49,1.62,real
8,0.0,0.0,0.0,0.0,0.05,1.43,0.05,0.03,0.09,0.16,0.0,0.21,0.0,0.2,0.19,0.58,1.49,real
9,0.06,0.02,0.0,0.0,0.02,1.33,0.08,0.02,0.12,0.13,0.0,0.25,0.0,0.09,0.24,0.45,1.55,real
10,0.15,0.09,0.0,0.0,0.01,1.26,0.09,0.03,0.17,0.06,0.0,0.32,0.07,0.03,0.32,0.29,1.62,real
11,0.19,0.09,0.0,0.0,0.01,1.15,0.05,0.16,0.29,0.0,0.0,0.35,0.07,0.0,0.31,0.12,1.37,real
12,0.3,0.17,0.0,0.0,0.01,0.99,0.02,0.25,0.39,0.02,0.0,0.34,0.09,0.1,0.21,0.07,1.03,real
13,0.39,0.17,0.0,0.0,0.01,0.91,0.01,0.29,0.47,0.06,0.0,0.33,0.02,0.19,0.09,0.17,0.72,real
