,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,label
0,0.0,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.14,0.0,0.82,0.29,real
1,0.0,0.0,0.81,0.0,0.0,0.13,0.0,0.1,0.0,0.0,0.09,0.27,0.0,0.05,0.0,0.89,0.3,real
2,0.0,0.0,0.88,0.0,0.0,0.29,0.0,0.21,0.0,0.09,0.16,0.3,0.0,0.27,0.0,0.98,0.31,real
3,0.0,0.0,0.98,0.0,0.0,0.46,0.0,0.33,0.0,0.22,0.11,0.55,0.0,0.68,0.0,0.98,0.31,real
4,0.0,0.0,1.01,0.0,0.0,0.4,0.0,0.37,0.0,0.29,0.17,0.77,0.0,0.9,0.0,1.04,0.28,real
5,0.0,0.0,1.08,0.0,0.0,0.41,0.0,0.44,0.0,0.23,0.1,0.72,0.0,0.79,0.13,1.18,0.33,real
6,0.0,0.0,1.15,0.0,0.0,0.46,0.0,0.49,0.0,0.1,0.05,0.52,0.0,0.55,0.2,1.38,0.37,real
7,0.0,0.0,1.23,0.0,0.0,0.59,0.0,0.49,0.0,0.03,0.0,0.49,0.0,0.51,0.26,1.6,0.3,real
8,0.0,0.0,1.24,0.0,0.0,0.6,0.0,0.47,0.0,0.0,0.0,0.56,0.0,0.53,0.2,1.61,0.17,real
9,0.0,0.0,1.11,0.0,0.0,0.58,0.0,0.45,0.0,0.0,0.0,0.51,0.0,0.55,0.15,1.39,0.18,real
10,0.0,0.0,0.99,0.0,0.0,0.55,0.0,0.44,0.0,0.0,0.0,0.43,0.0,0.55,0.1,1.13,0.24,real
11,0.0,0.0,0.87,0.0,0.0,0.54,0.0,0.41,0.0,0.0,0.0,0.4,0.0,0.48,0.19,0.81,0.35,real
12,0.0,0.0,0.98,0.0,0.0,0.4,0.0,0.37,0.0,0.14,0.0,0.51,0.0,0.44,0.16,0.62,0.36,real
13,0.0,0.0,1.02,0.0,0.0,0.26,0.0,0.3,0.0,0.21,0.01,0.47,0.0,0.29,0.15,0.41,0.48,real
14,0.0,0.0,1.19,0.0,0.0,0.11,0.0,0.22,0.0,0.21,0.01,0.47,0.0,0.17,0.0,0.59,0.41,real
15,0.0,0.0,1.18,0.0,0.0,0.2,0.0,0.42,0.0,0.07,0.06,0.39,0.0,0.03,0.28,0.72,0.34,real
16,0.0,0.0,1.2,0.0,0.0,0.24,0.03,0.7,0.0,0.0,0.08,0.34,0.0,0.0,0.7,0.89,0.16,real
17,0.0,0.0,1.11,0.0,0.0,0.22,0.05,0.99,0.0,0.0,0.21,0.25,0.0,0.0,1.01,0.81,0.12,real
18,0.0,0.0,1.06,0.0,0.0,0.12,0.09,0.93,0.0,0.0,0.25,0.2,0.0,0.0,0.89,0.79,0.06,real
