,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,label
42,0.0,0.0,0.23,0.0,0.45,0.76,0.11,0.0,0.68,0.0,0.08,0.32,0.0,0.29,1.21,1.16,0.02,real
43,0.1,0.0,0.23,0.0,0.46,0.6,0.15,0.0,0.59,0.0,0.0,0.31,0.0,0.44,1.15,1.2,0.0,real
44,0.1,0.0,0.13,0.0,0.43,0.53,0.2,0.0,0.54,0.0,0.0,0.18,0.0,0.38,1.31,1.38,0.0,real
45,0.1,0.0,0.1,0.29,0.36,0.34,0.33,0.0,0.45,0.0,0.0,0.1,0.0,0.33,1.52,1.45,0.0,real
46,0.0,0.0,0.0,0.34,0.23,0.28,0.43,0.0,0.26,0.0,0.0,0.0,0.0,0.14,1.8,1.58,0.0,real
47,0.0,0.0,0.0,0.5,0.1,0.25,0.47,0.0,0.11,0.0,0.0,0.02,0.0,0.13,1.89,1.36,0.13,real
48,0.03,0.0,0.0,0.26,0.03,0.27,0.41,0.0,0.04,0.0,0.0,0.02,0.0,0.1,1.9,1.45,0.13,real
49,0.03,0.0,0.0,0.21,0.04,0.17,0.41,0.05,0.11,0.0,0.0,0.02,0.0,0.11,1.76,1.6,0.13,real
50,0.03,0.0,0.0,0.09,0.04,0.16,0.36,0.19,0.27,0.0,0.0,0.06,0.0,0.16,1.54,1.92,0.0,real
51,0.0,0.0,0.0,0.23,0.02,0.07,0.26,0.41,0.45,0.01,0.0,0.06,0.0,0.19,1.45,2.01,0.0,real
52,0.0,0.0,0.0,0.32,0.0,0.06,0.17,0.59,0.53,0.01,0.0,0.06,0.0,0.2,1.44,2.09,0.0,real
53,0.0,0.0,0.0,0.33,0.01,0.0,0.22,0.64,0.55,0.08,0.0,0.0,0.0,0.18,1.4,1.94,0.03,real
54,0.0,0.0,0.0,0.16,0.01,0.0,0.2,0.59,0.41,0.16,0.0,0.04,0.0,0.2,1.32,1.84,0.21,real
55,0.06,0.0,0.0,0.08,0.01,0.0,0.22,0.45,0.27,0.23,0.0,0.07,0.0,0.28,1.14,1.68,0.33,real
56,0.2,0.0,0.08,0.03,0.0,0.0,0.14,0.38,0.12,0.21,0.0,0.07,0.0,0.29,1.29,1.66,0.51,real
57,0.22,0.0,0.11,0.0,0.0,0.0,0.21,0.23,0.04,0.16,0.0,0.03,0.0,0.24,1.47,1.72,0.62,real
58,0.21,0.0,0.15,0.0,0.0,0.06,0.22,0.13,0.02,0.09,0.0,0.0,0.0,0.18,1.81,1.78,0.86,real
59,0.14,0.0,0.14,0.0,0.0,0.06,0.19,0.02,0.0,0.12,0.0,0.0,0.0,0.16,2.05,2.03,0.84,real
60,0.2,0.0,0.17,0.0,0.0,0.06,0.15,0.03,0.0,0.08,0.0,0.0,0.0,0.18,2.02,2.15,0.89,real
61,0.27,0.0,0.24,0.0,0.0,0.0,0.1,0.06,0.0,0.08,0.0,0.0,0.0,0.16,1.93,2.13,0.63,real
62,0.3,0.0,0.22,0.0,0.0,0.0,0.08,0.11,0.01,0.0,0.0,0.0,0.0,0.07,1.86,1.92,0.5,real
63,0.31,0.0,0.2,0.0,0.0,0.15,0.05,0.08,0.01,0.0,0.0,0.0,0.0,0.02,2.04,1.68,0.39,real
64,0.28,0.03,0.13,0.0,0.0,0.28,0.05,0.13,0.01,0.0,0.0,0.0,0.0,0.0,2.12,1.68,0.61,real
65,0.28,0.03,0.23,0.02,0.0,0.28,0.09,0.19,0.0,0.0,0.0,0.09,0.11,0.0,2.05,1.67,0.81,real
66,0.25,0.03,0.32,0.02,0.0,0.13,0.1,0.29,0.0,0.0,0.0,0.16,0.17,0.0,1.96,1.68,0.77,real
