,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,label
0,2.69,0.22,0.0,0.15,0.0,0.0,0.0,0.37,0.94,0.19,0.46,0.0,0.0,0.0,1.13,0.0,1.3,real
1,2.92,0.12,0.0,0.05,0.0,0.0,0.0,0.36,1.03,0.18,0.68,0.0,0.0,0.0,1.18,0.0,1.36,real
2,2.99,0.19,0.0,0.0,0.05,0.0,0.0,0.32,1.04,0.19,0.98,0.0,0.0,0.0,1.31,0.0,1.36,real
3,2.82,0.27,0.0,0.0,0.07,0.0,0.0,0.49,0.91,0.15,1.12,0.0,0.0,0.0,1.38,0.0,1.34,real
4,2.72,0.34,0.08,0.0,0.07,0.04,0.0,0.56,0.66,0.07,1.28,0.0,0.0,0.0,1.71,0.28,1.28,real
5,2.67,0.45,0.3,0.0,0.02,0.21,0.0,0.59,0.34,0.0,1.26,0.0,0.13,0.0,1.79,0.91,1.18,real
6,2.62,0.44,0.56,0.0,0.0,0.38,0.0,0.33,0.27,0.01,1.47,0.0,0.13,0.0,1.31,1.26,0.95,real
7,2.51,0.47,0.73,0.0,0.0,0.38,0.0,0.11,0.32,0.01,1.47,0.03,0.13,0.0,0.63,1.25,0.75,real
8,2.24,0.22,0.88,0.0,0.0,0.24,0.0,0.0,0.49,0.02,1.46,0.05,0.0,0.0,0.04,0.92,0.5,real
9,2.08,0.14,0.98,0.0,0.0,0.07,0.0,0.0,0.55,0.08,1.27,0.13,0.0,0.0,0.01,0.87,0.36,real
10,2.0,0.09,1.02,0.0,0.0,0.03,0.0,0.0,0.61,0.11,1.11,0.19,0.0,0.0,0.01,0.85,0.18,real
11,1.94,0.11,0.92,0.0,0.01,0.09,0.0,0.0,0.7,0.11,1.03,0.16,0.0,0.0,0.3,0.82,0.51,real
12,1.89,0.14,0.9,0.0,0.03,0.19,0.0,0.0,0.76,0.06,1.0,0.09,0.0,0.0,0.65,0.84,0.85,real
13,1.6,0.07,0.85,0.0,0.06,0.3,0.0,0.0,0.79,0.13,0.9,0.0,0.0,0.0,0.98,0.76,1.18,real
14,1.38,0.06,0.81,0.0,0.09,0.27,0.0,0.0,0.82,0.32,0.82,0.0,0.0,0.0,0.93,0.6,1.09,real
15,1.08,0.0,0.8,0.0,0.11,0.33,0.0,0.0,0.9,0.51,0.67,0.0,0.0,0.0,0.69,0.29,0.96,real
16,0.91,0.0,0.9,0.0,0.18,0.51,0.0,0.0,1.03,0.72,0.66,0.01,0.0,0.0,0.44,0.21,0.83,real
17,0.76,0.0,0.94,0.0,0.28,0.73,0.0,0.0,1.19,0.87,0.52,0.01,0.0,0.0,0.24,0.22,0.81,real
18,0.65,0.0,0.9,0.0,0.39,0.82,0.0,0.0,1.27,0.98,0.47,0.03,0.0,0.0,0.15,0.26,0.84,real
19,0.62,0.0,0.85,0.0,0.48,0.83,0.0,0.0,1.34,1.02,0.38,0.03,0.0,0.0,0.12,0.28,0.9,real
20,0.59,0.0,0.89,0.0,0.55,0.92,0.0,0.0,1.33,0.94,0.39,0.05,0.0,0.0,0.13,0.4,0.84,real
21,0.5,0.0,0.96,0.0,0.52,0.98,0.0,0.03,1.2,0.85,0.36,0.1,0.0,0.0,0.24,0.76,0.74,real
22,0.28,0.0,1.03,0.0,0.46,0.88,0.0,0.13,0.98,0.68,0.29,0.14,0.0,0.0,0.31,1.08,0.58,real
23,0.18,0.0,1.2,0.0,0.35,0.74,0.0,0.27,0.76,0.42,0.3,0.11,0.0,0.0,0.5,1.48,0.71,real
24,0.12,0.0,1.31,0.0,0.32,0.63,0.0,0.41,0.62,0.2,0.32,0.06,0.0,0.0,0.64,1.72,0.81,real
25,0.19,0.0,1.38,0.0,0.25,0.62,0.0,0.49,0.56,0.05,0.38,0.09,0.0,0.0,0.73,1.94,0.95,real
26,0.12,0.0,1.36,0.0,0.25,0.54,0.0,0.5,0.51,0.06,0.33,0.1,0.0,0.0,0.88,1.95,0.85,real
27,0.07,0.0,1.38,0.0,0.26,0.49,0.0,0.45,0.49,0.03,0.27,0.08,0.0,0.0,0.93,1.89,0.85,real
28,0.0,0.0,1.4,0.0,0.3,0.4,0.0,0.43,0.51,0.01,0.3,0.02,0.0,0.0,1.0,1.77,0.85,real
29,0.0,0.0,1.35,0.0,0.33,0.36,0.0,0.41,0.53,0.0,0.31,0.0,0.0,0.0,0.79,1.53,0.86,real
30,0.0,0.0,1.31,0.0,0.34,0.32,0.0,0.45,0.56,0.01,0.37,0.0,0.0,0.0,0.62,1.31,0.73,real
31,0.0,0.0,1.31,0.0,0.32,0.29,0.0,0.46,0.58,0.03,0.31,0.0,0.0,0.0,0.55,1.16,0.71,real
32,0.0,0.0,1.33,0.0,0.3,0.25,0.0,0.52,0.6,0.05,0.27,0.0,0.0,0.0,0.59,1.06,0.65,real
33,0.0,0.0,1.38,0.0,0.3,0.37,0.0,0.54,0.59,0.04,0.25,0.0,0.0,0.0,0.64,0.97,0.78,real
34,0.0,0.0,1.36,0.0,0.3,0.52,0.0,0.61,0.63,0.03,0.27,0.0,0.0,0.0,0.55,0.92,0.8,real
35,0.0,0.0,1.46,0.0,0.29,0.65,0.0,0.6,0.64,0.01,0.41,0.0,0.0,0.0,0.39,1.03,0.8,real
36,0.0,0.0,1.55,0.0,0.31,0.71,0.0,0.58,0.72,0.0,0.51,0.0,0.0,0.0,0.18,1.1,0.73,real
37,0.0,0.0,1.57,0.0,0.37,0.78,0.0,0.47,0.74,0.0,0.6,0.0,0.0,0.0,0.05,1.15,0.68,real
38,0.0,0.0,1.53,0.0,0.41,0.89,0.0,0.34,0.76,0.0,0.46,0.02,0.0,0.0,0.0,1.0,0.71,real
39,0.0,0.0,1.42,0.0,0.44,0.98,0.0,0.3,0.74,0.0,0.38,0.02,0.0,0.0,0.04,0.99,0.77,real
40,0.0,0.0,1.48,0.0,0.47,1.08,0.0,0.29,0.73,0.04,0.22,0.02,0.0,0.0,0.07,0.94,0.79,real
41,0.0,0.0,1.53,0.0,0.54,1.19,0.0,0.33,0.78,0.12,0.23,0.0,0.0,0.0,0.17,0.86,0.84,real
42,0.0,0.0,1.55,0.0,0.65,1.1,0.0,0.37,0.9,0.32,0.12,0.0,0.0,0.0,0.36,0.51,0.98,real
43,0.0,0.0,1.57,0.0,0.76,1.14,0.0,0.41,1.01,0.54,0.07,0.0,0.0,0.0,0.55,0.18,1.19,real
44,0.0,0.0,1.65,0.0,0.9,1.13,0.0,0.57,1.1,0.78,0.0,0.0,0.0,0.0,0.64,0.01,1.27,real
45,0.0,0.0,1.83,0.0,0.99,1.19,0.0,0.67,1.12,0.86,0.0,0.0,0.0,0.0,0.67,0.02,1.25,real
46,0.01,0.0,1.95,0.0,1.08,1.29,0.0,0.89,1.15,0.86,0.0,0.0,0.0,0.0,0.8,0.12,1.26,real
47,0.09,0.0,2.07,0.0,1.09,1.5,0.04,1.09,1.15,0.84,0.03,0.0,0.0,0.0,1.13,0.45,1.24,real
48,0.22,0.0,2.24,0.0,1.14,1.84,0.04,1.17,1.17,0.91,0.12,0.02,0.0,0.0,1.04,0.52,1.26,real
49,0.33,0.0,2.37,0.0,1.13,2.0,0.04,1.19,1.13,1.04,0.22,0.08,0.0,0.0,0.83,0.56,1.12,real
50,0.47,0.0,2.46,0.0,1.12,2.07,0.0,1.05,1.11,1.09,0.28,0.08,0.0,0.0,0.52,0.36,1.11,real
51,0.54,0.0,2.53,0.0,0.98,2.08,0.0,1.01,1.04,1.12,0.28,0.09,0.0,0.0,0.56,0.5,0.95,real
52,0.55,0.0,2.59,0.0,0.86,1.89,0.0,0.85,1.01,1.11,0.3,0.08,0.0,0.0,0.48,0.55,0.92,real
53,0.48,0.0,2.63,0.0,0.72,1.7,0.0,0.78,0.96,1.12,0.29,0.09,0.0,0.0,0.37,0.63,0.81,real
54,0.41,0.0,2.6,0.0,0.73,1.41,0.0,0.77,0.97,1.11,0.31,0.06,0.0,0.0,0.24,0.5,0.76,real
55,0.42,0.0,2.59,0.0,0.77,1.48,0.0,0.85,1.02,0.94,0.29,0.01,0.0,0.0,0.31,0.35,0.75,real
56,0.58,0.0,2.43,0.0,0.84,1.4,0.0,0.97,1.22,0.93,0.33,0.0,0.0,0.0,0.44,0.14,0.87,real
57,0.7,0.0,2.22,0.0,0.83,1.16,0.0,1.07,1.45,0.97,0.36,0.0,0.0,0.0,0.56,0.06,0.78,real
58,0.75,0.0,2.08,0.0,0.83,0.68,0.0,1.17,1.62,1.14,0.37,0.0,0.0,0.0,0.64,0.01,0.47,real
59,0.46,0.0,2.26,0.0,0.83,0.3,0.0,1.1,1.63,1.16,0.31,0.11,0.0,0.0,0.44,0.05,0.11,real
60,0.23,0.0,2.42,0.0,0.85,0.16,0.01,1.17,1.63,1.1,0.36,0.21,0.0,0.0,0.37,0.12,0.0,real
61,0.02,0.0,2.47,0.0,0.83,0.06,0.05,1.26,1.55,1.13,0.42,0.37,0.04,0.0,0.27,0.12,0.0,real
